0,0,0,0
20.33,20.94,20.44,20.67
30.72,30.67,31.06,30.94
40.56,40.61,40.94,40.83
50.67,50.89,50.83,53.39
60.11,60.89,60.67,61.33
70.67,73.17,70.39,95.17
84.28,83.11,79.94,99.72
92.78,93.83,98.17,99.67
96.44,98.56,99.61,99.67
98.44,99.39,99.61,99.67
98.61,99.56,99.61,99.39
98.89,98.89,99.5,99.61
99.72,99.56,99.44,99.61
99.72,99.72,99.44,99.61
99.72,99.72,99.44,99.78
100.0,99.39,99.56,99.22
100.0,99.61,99.56,99.44
100.0,99.61,99.56,100.0
99.94,99.72,99.56,100.0
100.0,99.78,99.56,100.0
100.0,99.78,99.56,100.0
100.0,99.78,99.56,100.0
100.0,99.78,99.56,100.0
100.0,99.78,99.56,100.0
100.0,99.78,99.56,100.0
100.0,99.78,99.56,100.0
99.83,99.78,99.56,100.0
100.0,99.78,99.56,100.0
99.94,99.78,99.56,99.89
100.0,99.89,99.56,99.83
100.0,99.78,99.56,99.89
100.0,99.78,99.56,100.0
100.0,99.89,99.56,100.0
100.0,99.89,99.61,100.0
100.0,99.89,99.61,100.0
